Calendar Year,Fishery,Species Category,Species (or group),Number of vessels with observer data ,Observed Mortalities (number),Observed Live Releases,Number of sets observed,Observed Interactions (number),Observed Interaction Rate (per set),Observed Mortality rate (per set),LATITUDE (5° cell),LONGITUDE (5° cell)
2017,S,SHK,WHALE SHARK,67,0,6,417,6,0.014388489,0,-7.5,157.5
2017,S,SHK,WHALE SHARK,114,0,2,1079,2,0.001853568,0,-7.5,162.5
2017,S,SHK,WHALE SHARK,106,0,4,1419,5,0.003523608,0,-7.5,167.5
2017,S,SHK,WHALE SHARK,68,0,1,362,1,0.002762431,0,-7.5,177.5
2017,S,SHK,WHALE SHARK,105,1,10,1929,12,0.00622084,0.000518403,-2.5,-177.5
2017,S,SHK,WHALE SHARK,46,0,3,291,4,0.013745704,0,-2.5,142.5
2017,S,SHK,WHALE SHARK,80,1,9,731,11,0.01504788,0.001367989,-2.5,147.5
2017,S,SHK,WHALE SHARK,127,0,13,1477,25,0.016926202,0,-2.5,152.5
2017,S,SHK,WHALE SHARK,157,0,23,2505,24,0.009580838,0,-2.5,157.5
2017,S,SHK,WHALE SHARK,121,0,7,753,7,0.009296149,0,-2.5,162.5
2017,S,SHK,WHALE SHARK,136,0,11,2391,21,0.008782936,0,-2.5,167.5
2017,S,SHK,WHALE SHARK,130,0,11,1876,12,0.006396588,0,-2.5,172.5
2017,S,SHK,WHALE SHARK,133,0,7,2586,8,0.003093581,0,-2.5,177.5
2017,S,SHK,WHALE SHARK,43,0,3,2245,3,0.001336303,0,2.5,137.5
2017,S,SHK,WHALE SHARK,85,0,22,958,22,0.022964509,0,2.5,142.5
2017,S,SHK,WHALE SHARK,103,1,15,733,18,0.024556617,0.001364256,2.5,147.5
2017,S,SHK,WHALE SHARK,128,0,27,1360,28,0.020588235,0,2.5,152.5
2017,S,SHK,WHALE SHARK,123,0,9,1177,9,0.007646559,0,2.5,157.5
2017,S,SHK,WHALE SHARK,90,0,2,569,2,0.003514938,0,2.5,162.5
2017,S,SHK,WHALE SHARK,89,0,2,1012,2,0.001976285,0,2.5,167.5
2017,S,SHK,WHALE SHARK,99,0,3,916,3,0.003275109,0,2.5,177.5
2017,S,SHK,WHALE SHARK,23,0,1,93,1,0.010752688,0,7.5,132.5
2017,S,SHK,WHALE SHARK,59,0,13,830,13,0.015662651,0,7.5,137.5
2017,S,SHK,WHALE SHARK,70,0,10,622,13,0.020900322,0,7.5,142.5
2017,S,SHK,WHALE SHARK,61,0,3,404,3,0.007425743,0,7.5,147.5
2017,S,SHK,WHALE SHARK,32,1,2,158,3,0.018987342,0.006329114,7.5,172.5
2017,S,SHK,WHALE SHARK,33,0,1,132,1,0.007575758,0,7.5,177.5
2018,S,SHK,WHALE SHARK,83,0,4,853,4,0.004689332,0,-7.5,-177.5
2018,S,SHK,WHALE SHARK,55,0,1,654,1,0.001529052,0,-7.5,-172.5
2018,S,SHK,WHALE SHARK,90,0,0,1128,1,0.000886525,0,-7.5,-167.5
2018,S,SHK,WHALE SHARK,65,0,1,648,1,0.00154321,0,-7.5,-162.5
2018,S,SHK,WHALE SHARK,13,0,1,77,1,0.012987013,0,-7.5,-152.5
2018,S,SHK,WHALE SHARK,12,0,1,90,1,0.011111111,0,-7.5,-147.5
2018,S,SHK,WHALE SHARK,5,0,1,22,1,0.045454545,0,-7.5,147.5
2018,S,SHK,WHALE SHARK,41,0,3,366,3,0.008196721,0,-7.5,152.5
2018,S,SHK,WHALE SHARK,50,0,3,343,3,0.008746356,0,-7.5,157.5
2018,S,SHK,WHALE SHARK,59,0,4,369,4,0.010840108,0,-7.5,162.5
2018,S,SHK,WHALE SHARK,72,0,1,280,1,0.003571429,0,-7.5,172.5
2018,S,SHK,WHALE SHARK,95,0,12,1290,12,0.009302326,0,-2.5,-167.5
2018,S,SHK,WHALE SHARK,43,0,3,505,3,0.005940594,0,-2.5,-162.5
